Manufacturer,Model,Description,AorM,Transmission,Engine Capacity,Fuel Type,Metric Urban (Cold),Metric Extra-Urban,Metric Combined,Imperial Urban (Cold),Imperial Extra-Urban,Imperial Combined,CO2 g/km,Euro standard,Noise Level dB(A),Emissions CO [mg/km],THC Emissions [mg/km],Emissions NOx [mg/km],THC + NOx Emissions [mg/km],Particulates [No.] [mg/km],Date of change,Fuel Cost 12000 Miles,Tax band,Standard 12 months,Standard 6 Months,1st year 12 months,1st year 6 months,,,
VOLKSWAGEN,Scirocco,2.0 TDI 140PS BlueMotion Technology GT,Manual,M6,1968,Diesel,5.5,4.0,4.5,51.4,70.6,62.8,118,5,71.0,280,,134,162,0.0,,"£1,276.93",C,£30.00,NA,£0.00,NA,,,
VOLKSWAGEN,Scirocco,2.0 TDI 140PS DSG BlueMotion Technology ,Automatic,D6,1968,Diesel,5.9,4.5,4.9,47.9,62.8,57.6,129,5,69.0,142,,114,135,0.2,,"£1,392.21",D,£100.00,£55.00,£0.00,NA,,,
VOLKSWAGEN,Scirocco,2.0 TDI 140PS DSG BlueMotion Technology GT,Automatic,D6,1968,Diesel,5.9,4.5,4.9,47.9,62.8,57.6,129,5,69.0,149,,114,135,0.0,,"£1,392.21",D,£100.00,£55.00,£0.00,NA,,,
VOLKSWAGEN,Scirocco,2.0 TSI 210PS DSG GT,Automatic,D6,1984,Petrol,10.0,6.0,7.5,28.2,47.1,37.7,174,5,74.0,216,49,38,,,,"£2,011.33",H,£195.00,£107.25,£275.00,NA,,,
VOLKSWAGEN,Scirocco,2.0 TSI 210PS GT,Manual,M6,1984,Petrol,10.1,5.9,7.4,28.0,47.9,38.2,172,5,75.0,320,51,51,,,,"£1,985.01",H,£195.00,£107.25,£275.00,NA,,,
VOLKSWAGEN,Scirocco,R 2.0 TSI 265PS,Manual,M6,1984,Petrol,11.3,6.2,8.1,25.0,45.6,34.9,189,5,75.0,179,33,27,,,,"£2,172.70",J,£250.00,£137.50,£460.00,NA,,,
VOLKSWAGEN,Scirocco,R 2.0 TSI 265PS DSG,Automatic,D6,1984,Petrol,10.9,6.3,8.0,25.9,44.8,35.3,187,5,73.0,172,38,30,,,,"£2,148.08",J,£250.00,£137.50,£460.00,NA,,,
VOLKSWAGEN,Sharan,1.4 TSI 150PS DSG Stop-Start S,Automatic,D6,1390,Petrol,9.4,6.6,7.6,30.1,42.8,37.2,178,5,70.0,685,56,44,,,,"£2,038.37",I,£215.00,£118.25,£325.00,NA,,,
VOLKSWAGEN,Sharan,1.4 TSI 150PS DSG Stop-Start SE,Automatic,D6,1390,Petrol,9.4,6.6,7.6,30.1,42.8,37.2,178,5,70.0,685,56,44,,,,"£2,038.37",I,£215.00,£118.25,£325.00,NA,,,
VOLKSWAGEN,Sharan,1.4 TSI 150PS Stop-Start S,Manual,M6,1390,Petrol,9.2,6.1,7.2,30.7,46.3,39.2,167,5,74.0,713,54,43,,,,"£1,934.37",H,£195.00,£107.25,£275.00,NA,,,
VOLKSWAGEN,Sharan,1.4 TSI 150PS Stop-Start SE,Manual,M6,1390,Petrol,9.2,6.1,7.2,30.7,46.3,39.2,167,5,74.0,713,54,43,,,,"£1,934.37",H,£195.00,£107.25,£275.00,NA,,,
VOLKSWAGEN,Sharan,2.0 TDI 140PS DSG Stop-Start  S,Automatic,D6,1968,Diesel,6.9,5.0,5.7,40.9,56.5,49.6,149,5,72.0,94,,134,143,0.7,,"£1,616.76",F,£135.00,£74.25,£135.00,£74.25,,,
VOLKSWAGEN,Sharan,2.0 TDI 140PS DSG Stop-Start (6 & 7 Seats) SE,Automatic,D6,1968,Diesel,6.9,5.0,5.7,40.9,56.5,49.6,149,5,72.0,78,,136,144,1.0,,"£1,616.76",F,£135.00,£74.25,£135.00,£74.25,,,
VOLKSWAGEN,Sharan,2.0 TDI 140PS DSG Stop-Start (6 & 7 Seats) SEL,Automatic,D6,1968,Diesel,6.9,5.0,5.7,40.9,56.5,49.6,149,5,72.0,78,,136,144,1.0,,"£1,616.76",F,£135.00,£74.25,£135.00,£74.25,,,
VOLKSWAGEN,Sharan,2.0 TDI 140PS Stop-Start ( 6 Seats ) Executive,Manual,M6,1968,Diesel,6.9,4.9,5.6,40.9,57.6,50.4,146,5,72.0,194,,141,163,0.0,,"£1,591.10",F,£135.00,£74.25,£135.00,£74.25,,,
VOLKSWAGEN,Sharan,2.0 TDI 140PS Stop-Start S,Manual,M6,1968,Diesel,6.9,4.9,5.6,40.9,57.6,50.4,146,5,72.0,234,,138,163,0.0,,"£1,591.10",F,£135.00,£74.25,£135.00,£74.25,,,
VOLKSWAGEN,Sharan,2.0 TDI 140PS Stop-Start SE,Manual,M6,1968,Diesel,6.9,4.9,5.6,40.9,57.6,50.4,146,5,72.0,194,,141,163,0.0,,"£1,591.10",F,£135.00,£74.25,£135.00,£74.25,,,
VOLKSWAGEN,Sharan,2.0 TDI 140PS Stop-Start SEL,Manual,M6,1968,Diesel,6.9,4.9,5.6,40.9,57.6,50.4,146,5,72.0,194,,141,163,0.0,,"£1,591.10",F,£135.00,£74.25,£135.00,£74.25,,,
VOLKSWAGEN,Sharan,2.0 TDI 170PS DSG Stop-Start SE,Automatic,D6,1968,Diesel,6.7,5.4,5.9,42.2,52.3,47.9,154,5,69.0,101,,120,128,0.0,,"£1,674.14",G,£170.00,£93.50,£170.00,£93.50,,,
VOLKSWAGEN,Sharan,2.0 TDI 170PS DSG Stop-Start SEL,Automatic,D6,1968,Diesel,6.7,5.4,5.9,42.2,52.3,47.9,154,5,69.0,101,,120,128,0.0,,"£1,674.14",G,£170.00,£93.50,£170.00,£93.50,,,
VOLKSWAGEN,Sharan,2.0 TDI 170PS Stop-Start SE,Manual,M6,1968,Diesel,7.3,5.0,5.8,38.7,56.5,48.7,152,5,72.0,265,,121,155,0.0,,"£1,646.64",G,£170.00,£93.50,£170.00,£93.50,,,
VOLKSWAGEN,Sharan,2.0 TDI 170PS Stop-Start SEL,Manual,M6,1968,Diesel,7.3,5.0,5.8,38.7,56.5,48.7,152,5,72.0,265,,121,155,0.0,,"£1,646.64",G,£170.00,£93.50,£170.00,£93.50,,,
VOLKSWAGEN,Sharan,2.0 TSI 200PS DSG Stop-Start SEL,Automatic,D6,1984,Petrol,11.6,6.7,8.5,24.4,42.2,33.2,198,5,74.0,368,58,47,33,,,"£2,283.95",J,£250.00,£137.50,£460.00,NA,,,
VOLKSWAGEN,T5 California  Model Year 2010,2.0 TDI 140PS SWB Beach,Manual,M6,1968,Diesel,9.8,6.5,7.7,28.8,43.5,36.7,203,5,71.0,136,,198,241,0.6,,"£2,185.05",K,£270.00,£148.50,£600.00,NA,,,
VOLKSWAGEN,T5 California  Model Year 2010,2.0 TDI 140PS SWB SE,Manual,M6,1968,Diesel,9.8,6.5,7.7,28.8,43.5,36.7,203,5,71.0,136,,198,241,0.6,,"£2,185.05",K,£270.00,£148.50,£600.00,NA,,,
VOLKSWAGEN,T5 California  Model Year 2010,2.0 TDI 180PS 4MOTION SWB SE,Manual,QM6,1968,Diesel,10.5,7.2,8.4,26.9,39.2,33.6,221,5,72.0,184,,182,219,0.3,,"£2,386.65",K,£270.00,£148.50,£600.00,NA,,,
VOLKSWAGEN,T5 California  Model Year 2010,2.0 TDI 180PS 7speed DSG SWB SE,Automatic,D7,1968,Diesel,10.2,6.9,8.1,27.7,40.9,34.9,214,5,72.0,116,,199,212,0.0,,"£2,297.75",K,£270.00,£148.50,£600.00,NA,,,
VOLKSWAGEN,T5 California  Model Year 2010,2.0 TDI 180PS SWB SE,Manual,M6,1968,Diesel,9.8,6.7,7.8,28.8,42.2,36.2,205,5,74.0,328,,182,232,0.3,,"£2,215.23",K,£270.00,£148.50,£600.00,NA,,,
VOLKSWAGEN,T5 Kombi Model Year 2010,T30 2.0 TDI 140PS SWB,Manual,M6,1968,Diesel,9.6,6.3,7.5,29.4,44.8,37.7,214,5,71.0,136,,198,241,0.6,,"£2,127.09",K,£270.00,£148.50,£600.00,NA,,,
VOLKSWAGEN,T5 Kombi Model Year 2010,T30 2.0 TDI 84PS SWB ,Manual,M5,1968,Diesel,9.5,6.1,7.3,29.7,46.3,38.7,193,5,71.0,195,,192,237,0.6,,"£2,072.13",J,£250.00,£137.50,£460.00,NA,,,
VOLKSWAGEN,T5 Kombi Model Year 2010,T32 2.0 TDI 102PS LWB,Manual,M5,1968,Diesel,9.5,6.1,7.3,29.7,46.3,38.7,193,5,72.0,195,,192,237,0.6,,"£2,072.13",J,£250.00,£137.50,£460.00,NA,,,
VOLKSWAGEN,T5 Kombi Model Year 2010,T32 2.0 TDI 140PS LWB,Manual,M6,1968,Diesel,9.6,6.3,7.5,29.4,44.8,37.7,214,5,71.0,136,,198,241,0.6,,"£2,127.09",K,£270.00,£148.50,£600.00,NA,,,
VOLKSWAGEN,T5 Kombi Model Year 2010,T32 2.0 TDI 140PS LWB,Manual,M6,1968,Diesel,9.6,6.3,7.5,29.4,44.8,37.7,214,5,71.0,136,,198,241,0.6,,"£2,127.09",K,£270.00,£148.50,£600.00,NA,,,
VOLKSWAGEN,T5 Kombi Model Year 2010,T32 2.0 TDI 140PS SWB,Manual,M6,1968,Diesel,9.6,6.3,7.5,29.4,44.8,37.7,214,5,71.0,136,,198,241,0.6,,"£2,127.09",K,£270.00,£148.50,£600.00,NA,,,
VOLKSWAGEN,T5 Kombi Model Year 2010,T32 2.0 TDI 180PS LWB,Manual,M6,1968,Diesel,9.5,6.4,7.5,29.7,44.1,37.7,197,5,74.0,149,,218,232,0.3,,"£2,127.09",J,£250.00,£137.50,£460.00,NA,,,
VOLKSWAGEN,T5 Shuttle Model Year 2010,2.0 TDI 102PS LWB S,Manual,M5,1968,Diesel,9.5,6.1,7.3,29.7,46.3,38.7,193,5,72.0,195,,192,238,0.6,,"£2,072.13",J,£250.00,£137.50,£460.00,NA,,,
VOLKSWAGEN,T5 Shuttle Model Year 2010,2.0 TDI 102PS LWB SE,Manual,M5,1968,Diesel,9.5,6.1,7.3,29.7,46.3,38.7,193,5,72.0,195,,192,238,0.6,,"£2,072.13",J,£250.00,£137.50,£460.00,NA,,,
VOLKSWAGEN,T5 Shuttle Model Year 2010,2.0 TDI 102PS SWB S,Manual,M5,1968,Diesel,9.5,6.1,7.3,29.7,46.3,38.7,193,5,72.0,195,,193,237,0.6,,"£2,072.13",J,£250.00,£137.50,£460.00,NA,,,
VOLKSWAGEN,T5 Shuttle Model Year 2010,2.0 TDI 102PS SWB SE,Manual,M5,1968,Diesel,9.5,6.1,7.3,29.7,46.3,38.7,193,5,72.0,195,,193,237,0.6,,"£2,072.13",J,£250.00,£137.50,£460.00,NA,,,
VOLKSWAGEN,T5 Shuttle Model Year 2010,2.0 TDI 140PS 7speed DSG LWB S,Automatic,D7,1968,Diesel,10.2,6.7,8.0,27.7,42.2,35.3,211,5,70.0,49,,258,274,0.4,,"£2,271.71",K,£270.00,£148.50,£600.00,NA,,,
VOLKSWAGEN,T5 Shuttle Model Year 2010,2.0 TDI 140PS 7speed DSG LWB SE,Automatic,D7,1968,Diesel,10.2,6.7,8.0,27.7,42.2,35.3,211,5,70.0,49,,258,274,0.4,,"£2,271.71",K,£270.00,£148.50,£600.00,NA,,,
VOLKSWAGEN,T5 Shuttle Model Year 2010,2.0 TDI 140PS 7speed DSG SWB S,Automatic,D7,1968,Diesel,10.2,6.4,8.0,27.7,44.1,35.3,211,5,70.0,49,,258,274,0.4,,"£2,271.71",K,£270.00,£148.50,£600.00,NA,,,
VOLKSWAGEN,T5 Shuttle Model Year 2010,2.0 TDI 140PS 7speed DSG SWB SE,Automatic,D7,1968,Diesel,10.2,6.4,8.0,27.7,44.1,35.3,211,5,70.0,49,,258,274,0.4,,"£2,271.71",K,£270.00,£148.50,£600.00,NA,,,
VOLKSWAGEN,T5 Shuttle Model Year 2010,2.0 TDI 140PS LWB S,Manual,M6,1968,Diesel,9.6,6.3,7.5,29.4,44.8,37.7,198,5,71.0,136,,198,241,0.6,,"£2,127.09",J,£250.00,£137.50,£460.00,NA,,,
VOLKSWAGEN,T5 Shuttle Model Year 2010,2.0 TDI 140PS LWB SE,Manual,M6,1968,Diesel,9.6,6.3,7.5,29.4,44.8,37.7,198,5,71.0,136,,198,241,0.6,,"£2,127.09",J,£250.00,£137.50,£460.00,NA,,,
VOLKSWAGEN,T5 Shuttle Model Year 2010,2.0 TDI 140PS SWB S,Manual,M6,1968,Diesel,9.6,6.3,7.5,29.4,44.8,37.7,198,5,71.0,136,,198,241,0.6,,"£2,127.09",J,£250.00,£137.50,£460.00,NA,,,
VOLKSWAGEN,T5 Shuttle Model Year 2010,2.0 TDI 140PS SWB SE,Manual,M6,1968,Diesel,9.6,6.3,7.5,29.4,44.8,37.7,198,5,71.0,136,,198,241,0.6,,"£2,127.09",J,£250.00,£137.50,£460.00,NA,,,
VOLKSWAGEN,T5 Shuttle Model Year 2010,2.0 TDI 180PS LWB SE,Manual,M6,1968,Diesel,9.6,6.5,7.6,29.4,43.5,37.2,199,5,74.0,149,,218,232,0.3,,"£2,155.68",J,£250.00,£137.50,£460.00,NA,,,
VOLKSWAGEN,T5 Shuttle Model Year 2010,2.0 TDI 180PS SWB SE,Manual,M6,1968,Diesel,9.5,6.4,7.5,29.7,44.1,37.7,197,5,74.0,149,,218,232,0.3,,"£2,127.09",J,£250.00,£137.50,£460.00,NA,,,
VOLKSWAGEN,T5 Shuttle Model Year 2010,2.0 TDI 85PS LWB S,Manual,M5,1968,Diesel,9.5,6.1,7.3,29.7,46.3,38.7,193,5,71.0,195,,192,237,0.6,,"£2,072.13",J,£250.00,£137.50,£460.00,NA,,,
VOLKSWAGEN,T5 Shuttle Model Year 2010,2.0 TDI 85PS SWB S,Manual,M5,1968,Diesel,9.5,6.1,7.3,29.7,46.3,38.7,193,5,71.0,195,,192,237,0.6,,"£2,072.13",J,£250.00,£137.50,£460.00,NA,,,
VOLKSWAGEN,T5 Window Van Model Year 2010,T30 2.0 TDI 140PS 4MOTION LWB,Manual,QM6,1968,Diesel,10.9,7.3,8.6,25.9,38.7,32.8,226,5,74.0,149,,218,232,0.3,,"£2,444.86",L,£460.00,£253.00,£815.00,NA,,,
VOLKSWAGEN,T5 Window Van Model Year 2010,T30 2.0 TDI 140PS 4MOTION SWB,Manual,QM6,1968,Diesel,10.9,7.3,8.6,25.9,38.7,32.8,226,5,74.0,149,,218,232,0.3,,"£2,444.86",L,£460.00,£253.00,£815.00,NA,,,
VOLKSWAGEN,T5 Window Van Model Year 2010,T30 2.0 TDI 140PS 7spd DSG LWB,Automatic,D7,1968,Diesel,10.2,6.7,8.0,27.7,42.2,35.3,211,5,70.0,49,,258,274,0.4,,"£2,271.71",K,£270.00,£148.50,£600.00,NA,,,
VOLKSWAGEN,T5 Window Van Model Year 2010,T30 2.0 TDI 140PS 7spd DSG SWB,Automatic,D7,1968,Diesel,10.2,6.7,8.0,27.7,42.2,35.3,211,5,70.0,49,,218,232,0.3,,"£2,271.71",K,£270.00,£148.50,£600.00,NA,,,
VOLKSWAGEN,T5 Window Van Model Year 2010,T30 2.0 TDI 140PS LWB,Manual,M6,1968,Diesel,9.6,6.3,7.5,29.4,44.8,37.7,214,5,71.0,136,,198,241,0.6,,"£2,127.09",K,£270.00,£148.50,£600.00,NA,,,
VOLKSWAGEN,T5 Window Van Model Year 2010,T30 2.0 TDI 140PS SWB,Manual,M6,1968,Diesel,9.6,6.3,7.5,29.4,44.8,37.7,214,5,71.0,136,,198,241,0.6,,"£2,127.09",K,£270.00,£148.50,£600.00,NA,,,
VOLKSWAGEN,T5 Window Van Model Year 2010,T30 2.0 TDI 140PS SWB,Manual,M6,1968,Diesel,9.6,6.3,7.5,29.4,44.8,37.7,214,5,71.0,136,,198,241,0.6,,"£2,127.09",K,£270.00,£148.50,£600.00,NA,,,
VOLKSWAGEN,T5 Window Van Model Year 2010,T30 2.0 TDI 180PS SWB,Manual,M6,1968,Diesel,9.5,6.4,7.5,29.7,44.1,37.7,197,5,74.0,149,,218,232,0.3,,"£2,127.09",J,£250.00,£137.50,£460.00,NA,,,
VOLKSWAGEN,T5 Window Van Model Year 2010,T30 2.0 TDI 84PS SWB,Manual,M5,1968,Diesel,9.5,6.1,7.3,29.7,46.3,38.7,193,5,71.0,195,,192,238,0.6,,"£2,072.13",J,£250.00,£137.50,£460.00,NA,,,
VOLKSWAGEN,T5 Window Van Model Year 2010,T32 2.0 TDI 102PS LWB,Manual,M5,1968,Diesel,9.5,6.1,7.3,29.7,46.3,38.7,193,5,72.0,195,,192,237,0.6,,"£2,072.13",J,£250.00,£137.50,£460.00,NA,,,
VOLKSWAGEN,T5 Window Van Model Year 2010,T32 2.0 TDI 102PS SWB,Manual,M5,1968,Diesel,9.5,6.1,7.3,29.7,46.3,38.7,193,5,72.0,195,,192,237,0.6,,"£2,072.13",J,£250.00,£137.50,£460.00,NA,,,
VOLKSWAGEN,T5 Window Van Model Year 2010,T32 2.0 TDI 140PS 7spd DSG SWB,Automatic,D7,1968,Diesel,10.2,6.7,8.0,27.7,42.2,35.3,211,5,70.0,49,,258,274,0.4,,"£2,271.71",K,£270.00,£148.50,£600.00,NA,,,
VOLKSWAGEN,T5 Window Van Model Year 2010,T32 2.0 TDI 140PS LWB,Manual,M6,1968,Diesel,9.6,6.3,7.5,29.4,44.8,37.7,214,5,71.0,136,,198,241,0.6,,"£2,127.09",K,£270.00,£148.50,£600.00,NA,,,
VOLKSWAGEN,T5 Window Van Model Year 2010,T32 2.0 TDI 180PS LWB,Manual,M6,1968,Diesel,9.5,6.4,7.5,29.7,44.1,37.7,197,5,74.0,149,,218,232,0.3,,"£2,127.09",J,£250.00,£137.50,£460.00,NA,,,
VOLKSWAGEN,Tiguan,1.4 TSI 160PS 2WD BlueMotion Technology,Manual,M6,1390,Petrol,8.5,5.7,6.7,33.2,49.6,42.2,156,5,72.0,437,45,35,,,,"£1,796.85",G,£170.00,£93.50,£170.00,£93.50,,,
VOLKSWAGEN,Tiguan,1.4 TSI 160PS 4MOTION,Manual,QM6,1390,Petrol,9.6,6.5,7.6,29.4,43.5,37.2,178,5,72.0,344,44,33,,,,"£2,038.37",I,£215.00,£118.25,£325.00,NA,,,
VOLKSWAGEN,Tiguan,2.0 TDI CR 110PS 2WD BlueMotion Technology,Manual,M6,1968,Diesel,6.3,4.8,5.3,44.8,58.9,53.3,139,5,72.0,267,,134,163,0.0,,"£1,504.53",E,£120.00,£66.00,£120.00,£66.00,,,
VOLKSWAGEN,Tiguan,2.0 TDI CR 140PS 2WD BlueMotion Technology,Manual,M6,1968,Diesel,6.3,4.8,5.3,44.8,58.9,53.3,139,5,71.0,267,,134,163,0.0,,"£1,504.53",E,£120.00,£66.00,£120.00,£66.00,,,
VOLKSWAGEN,Tiguan,2.0 TDI CR 140PS 4MOTION 7speed DSG BlueMotion Technology,Automatic,QD7,1968,Diesel,6.9,5.5,6.0,40.9,51.4,47.1,158,5,71.0,141,,119,134,0.5,,"£1,702.58",G,£170.00,£93.50,£170.00,£93.50,,,
VOLKSWAGEN,Tiguan,2.0 TDI CR 140PS 4MOTION BlueMotion Technology,Manual,QM6,1968,Diesel,6.9,5.1,5.8,40.9,55.4,48.7,150,5,74.0,307,,108,157,0.1,,"£1,646.64",F,£135.00,£74.25,£135.00,£74.25,,,
VOLKSWAGEN,Tiguan,2.0 TDI CR 170PS 4MOTION,Manual,QM6,1968,Diesel,7.4,5.1,6.0,38.2,55.4,47.1,158,5,74.0,245,,124,159,0.0,,"£1,702.58",G,£170.00,£93.50,£170.00,£93.50,,,
VOLKSWAGEN,Tiguan,2.0 TSI 180PS 4MOTION,Manual,QM6,1984,Petrol,11.6,6.7,8.5,24.4,42.2,33.2,199,5,75.0,266,55,44,,,,"£2,283.95",J,£250.00,£137.50,£460.00,NA,,,
VOLKSWAGEN,Tiguan,2.0 TSI 180PS 4MOTION 7speed DSG,Automatic,QD7,1984,Petrol,11.8,6.7,8.6,23.9,42.2,32.8,199,5,71.0,205,54,34,,,,"£2,311.81",J,£250.00,£137.50,£460.00,NA,,,
VOLKSWAGEN,Tiguan,2.0 TSI 210PS 4MOTION,Manual,QM6,1984,Petrol,11.6,6.7,8.5,24.4,42.2,33.2,199,5,74.0,266,55,44,,,,"£2,283.95",J,£250.00,£137.50,£460.00,NA,,,
VOLKSWAGEN,Tiguan,2.0 TSI 210PS 4MOTION 7speed DSG,Automatic,QD7,1984,Petrol,11.8,6.7,8.6,23.9,42.2,32.8,199,5,70.0,205,54,34,,,,"£2,311.81",J,£250.00,£137.50,£460.00,NA,,,
VOLKSWAGEN,Touareg,3.0 V6 TDI 204PS Altitude,Automatic,A8,2967,Diesel,8.2,6.3,7.0,34.4,44.8,40.4,184,5,72.0,305,,133,153,0.4,,"£1,984.94",I,£215.00,£118.25,£325.00,NA,,,
VOLKSWAGEN,Touareg,3.0 V6 TDI 204PS SE,Automatic,A8,2967,Diesel,8.2,6.3,7.0,34.4,44.8,40.4,184,5,72.0,305,,133,153,0.4,,"£1,984.94",I,£215.00,£118.25,£325.00,NA,,,
VOLKSWAGEN,Touareg,3.0 V6 TDI 240PS Escape ( Off Road ),Automatic,A8,2967,Diesel,8.5,6.6,7.3,33.2,42.8,38.7,193,5,73.0,258,,163,182,1.3,,"£2,072.13",J,£250.00,£137.50,£460.00,NA,,,
VOLKSWAGEN,Touareg,3.0 V6 TDI 245PS Altitude,Automatic,A8,2967,Diesel,8.4,6.5,7.2,33.6,43.5,39.2,189,5,73.0,303,,145,164,0.6,,"£2,045.70",J,£250.00,£137.50,£460.00,NA,,,
VOLKSWAGEN,Touareg,3.0 V6 TDI 245PS SE,Automatic,A8,2967,Diesel,8.4,6.5,7.2,33.6,43.5,39.2,189,5,73.0,303,,145,164,0.6,,"£2,045.70",J,£250.00,£137.50,£460.00,NA,,,
VOLKSWAGEN,Touareg,3.0 V6 TSI Hybrid 333PS,Automatic,A8,2995,Petrol Hybrid,8.7,7.9,8.2,32.5,35.8,34.4,193,5,75.0,220,49,45,,,,"£2,204.00",J,£250.00,£137.50,£460.00,NA,,,
VOLKSWAGEN,Touareg,3.6 V6 TDI 280PS,Automatic,A8,4134,Petrol,13.2,8.0,9.9,21.4,35.3,28.5,236,5,76.0,374,38,33,,,,"£2,660.61",L,£460.00,£253.00,£815.00,NA,,,
VOLKSWAGEN,Touareg,4.2 V8 TDI 340PS Altitude,Automatic,A8,4134,Diesel,11.9,7.4,9.1,23.7,38.2,31.0,239,5,72.0,207,,171,195,0.6,,"£2,586.82",L,£460.00,£253.00,£815.00,NA,,,
VOLKSWAGEN,Touran,1.2 TSI 105PS Bluemotion,Manual,M6,1197,Petrol,7.2,5.2,5.9,39.2,54.3,47.9,139,5,73.0,680,45,37,,,,"£1,583.03",E,£120.00,£66.00,£120.00,£66.00,,,
VOLKSWAGEN,Touran,1.2 TSI 105PS S,Manual,M6,1197,Petrol,8.0,5.5,6.4,35.3,51.4,44.1,149,5,73.0,819,55,48,,,,"£1,719.44",F,£135.00,£74.25,£135.00,£74.25,,,
VOLKSWAGEN,Touran,1.2 TSI 105PS SE,Manual,M6,1197,Petrol,8.0,5.5,6.4,35.3,51.4,44.1,149,5,73.0,819,55,48,,,,"£1,719.44",F,£135.00,£74.25,£135.00,£74.25,,,
VOLKSWAGEN,Touran,1.2 TSI 105PS Stop-Start Bluemotion,Manual,M6,1197,Petrol,7.2,5.2,5.9,39.2,54.3,47.9,139,5,73.0,680,45,37,,,,"£1,583.03",E,£120.00,£66.00,£120.00,£66.00,,,
VOLKSWAGEN,Touran,1.2 TSI 105PS Stop-Start S,Manual,M6,1197,Petrol,7.2,5.2,5.9,39.2,54.3,47.9,139,5,73.0,680,45,37,,,,"£1,583.03",E,£120.00,£66.00,£120.00,£66.00,,,
VOLKSWAGEN,Touran,1.2 TSI 105PS Stop-Start SE,Manual,M6,1197,Petrol,7.2,5.2,5.9,39.2,54.3,47.9,139,5,73.0,680,45,37,,,,"£1,583.03",E,£120.00,£66.00,£120.00,£66.00,,,
VOLKSWAGEN,Touran,1.4 TSI 140PS 7speed DSG SE,Automatic,D7,1390,Petrol,8.5,5.6,6.6,33.2,50.4,42.8,154,5,69.0,661,64,55,,,,"£1,771.67",G,£170.00,£93.50,£170.00,£93.50,,,
VOLKSWAGEN,Touran,1.4 TSI 140PS SE,Manual,M6,1390,Petrol,8.9,5.6,6.8,31.7,50.4,41.5,159,5,72.0,520,41,32,,,,"£1,827.16",G,£170.00,£93.50,£170.00,£93.50,,,
VOLKSWAGEN,Touran,1.6 TDI 105PS 7speed DSG Bluemotion,Automatic,D7,1598,Diesel,6.1,4.5,5.1,46.3,62.8,55.4,134,5,69.0,189,,112,150,1.0,,"£1,447.50",E,£120.00,£66.00,£120.00,£66.00,,,
VOLKSWAGEN,Touran,1.6 TDI 105PS 7speed DSG S,Automatic,D7,1598,Diesel,6.1,4.5,5.1,46.3,62.8,55.4,134,5,69.0,135,,136,166,0.1,,"£1,447.50",E,£120.00,£66.00,£120.00,£66.00,,,
VOLKSWAGEN,Touran,1.6 TDI 105PS 7speed DSG SE,Automatic,D7,1598,Diesel,6.1,4.5,5.1,46.3,62.8,55.4,134,5,69.0,189,,112,150,1.0,,"£1,447.50",E,£120.00,£66.00,£120.00,£66.00,,,
VOLKSWAGEN,Touran,1.6 TDI 105PS Bluemotion,Manual,M6,1598,Diesel,6.3,4.5,5.1,44.8,62.8,55.4,134,5,71.0,153,,135,176,0.0,,"£1,447.50",E,£120.00,£66.00,£120.00,£66.00,,,
VOLKSWAGEN,Touran,1.6 TDI 105PS BlueMotion Technology S,Manual,M6,1598,Diesel,5.5,4.1,4.6,51.4,68.9,61.4,121,5,71.0,168,,137,181,0.1,,"£1,306.05",D,£100.00,£55.00,£0.00,NA,,,
VOLKSWAGEN,Touran,1.6 TDI 105PS BlueMotion Technology SE,Manual,M6,1598,Diesel,5.5,4.1,4.6,51.4,68.9,61.4,121,5,71.0,110,,98,133,1.0,,"£1,306.05",D,£100.00,£55.00,£0.00,NA,,,
VOLKSWAGEN,Touran,1.6 TDI 105PS S,Manual,M6,1598,Diesel,6.3,4.5,5.1,44.8,62.8,55.4,134,5,71.0,168,,137,181,0.1,,"£1,447.50",E,£120.00,£66.00,£120.00,£66.00,,,
VOLKSWAGEN,Touran,1.6 TDI 105PS SE,Manual,M6,1598,Diesel,6.3,4.5,5.1,44.8,62.8,55.4,134,5,71.0,153,,135,176,0.0,,"£1,447.50",E,£120.00,£66.00,£120.00,£66.00,,,
VOLKSWAGEN,Touran,1.6 TDI 105PS Stop-Start Bluemotion,Manual,M6,1598,Diesel,5.5,4.1,4.6,51.4,68.9,61.4,121,5,71.0,110,,98,133,1.0,,"£1,306.05",D,£100.00,£55.00,£0.00,NA,,,
VOLKSWAGEN,Touran,1.6 TDI 90PS S,Manual,M6,1598,Diesel,6.3,4.5,5.1,44.8,62.8,55.4,134,5,71.0,168,,137,181,0.1,,"£1,447.50",E,£120.00,£66.00,£120.00,£66.00,,,
VOLKSWAGEN,Touran,2.0 TDI 140PS BlueMotion Technology,Manual,M6,1968,Diesel,5.8,4.4,4.8,48.7,64.2,58.9,127,5,74.0,404,,123,190,1.0,,"£1,361.48",D,£100.00,£55.00,£0.00,NA,,,
VOLKSWAGEN,Touran,2.0 TDI 140PS DSG SE,Automatic,D6,1968,Diesel,7.0,5.0,5.7,40.4,56.5,49.8,149,5,70.0,226,,125,158,0.4,,"£1,610.27",F,£135.00,£74.25,£135.00,£74.25,,,
VOLKSWAGEN,Touran,2.0 TDI 140PS DSG Sport,Automatic,D6,1968,Diesel,7.0,5.0,5.7,40.4,56.5,49.6,149,5,70.0,226,,125,158,0.0,,"£1,616.76",F,£135.00,£74.25,£135.00,£74.25,,,
